Ref,Val,Package,PosX,PosY,Rot,Side
"C3","4.7 µF","DBLANDPATTERN_14",142.500000,-98.600000,0.000000,bottom
"C4","4.7 µF","DBLANDPATTERN_15",130.900000,-107.700000,-92.000000,bottom
"C5","4.7 µF","DBLANDPATTERN_19",146.800000,-99.400000,142.000000,bottom
"C6","100 nF","DBLANDPATTERN_20",132.950000,-105.010000,-115.000000,bottom
"C7","100 nF","DBLANDPATTERN_21",132.760000,-110.530000,-69.000000,bottom
"C8","100 nF","DBLANDPATTERN_22",136.070000,-114.330000,-28.000000,bottom
"C9","100 nF","DBLANDPATTERN_23",138.610000,-115.140000,-7.000000,bottom
"C10","100 nF","DBLANDPATTERN_24",146.743025,-112.472864,52.000000,bottom
"C11","100 nF","DBLANDPATTERN_25",146.690000,-108.300000,88.000000,bottom
"C12","100 nF","DBLANDPATTERN_26",145.150000,-103.530000,128.000000,bottom
"C13","100 nF","DBLANDPATTERN_27",136.510000,-101.450000,-155.000000,bottom
"C14","100 nF","DBLANDPATTERN_28",139.200000,-102.000000,0.000000,bottom
"C15","100 nF","DBLANDPATTERN_29",142.000000,-102.000000,0.000000,bottom
"C16","100 nF","DBLANDPATTERN_30",147.700000,-104.000000,125.000000,bottom
"C17","10 µF","DBLANDPATTERN_31",134.000000,-117.500000,0.000000,bottom
"C18","10 µF","DBLANDPATTERN_32",143.100000,-116.900000,0.000000,bottom
"C19","100 nF","DBLANDPATTERN_33",139.625000,-96.600000,0.000000,bottom
"C29","100 nF","DBLANDPATTERN_16",140.600000,-114.500000,0.000000,bottom
"C30","100 nF","DBLANDPATTERN_17",144.701000,-108.550000,0.000000,bottom
"C1","10 µF","DBLANDPATTERN_10",161.000000,-85.000000,0.000000,top
"C2","22 µF","DBLANDPATTERN_11",161.000000,-89.000000,0.000000,top
"C20","30 pF","DBLANDPATTERN_35",135.300000,-118.000000,0.000000,top
"C21","30 pF","DBLANDPATTERN_36",143.700000,-118.000000,0.000000,top
"C22","100 nF","DBLANDPATTERN_39",153.500000,-131.500000,0.000000,top
"C23","10 µF","DBLANDPATTERN_57",165.000000,-85.000000,0.000000,top
"C24","10 µF","DBLANDPATTERN_58",165.000000,-131.000000,0.000000,top
"C25","2.2 nF","DBLANDPATTERN_60",125.200000,-122.500000,0.000000,top
"C26","1 µF","DBLANDPATTERN_62",122.500000,-122.500000,0.000000,top
